label,image
7,custom-datasets/image_classification/multiple_classes/grayscale/json/train/1.png
4,custom-datasets/image_classification/multiple_classes/grayscale/json/train/2.png
3,custom-datasets/image_classification/multiple_classes/grayscale/json/train/3.png
9,custom-datasets/image_classification/multiple_classes/grayscale/json/train/4.png
2,custom-datasets/image_classification/multiple_classes/grayscale/json/train/5.png
1,custom-datasets/image_classification/multiple_classes/grayscale/json/train/6.png
1,custom-datasets/image_classification/multiple_classes/grayscale/json/train/7.png
7,custom-datasets/image_classification/multiple_classes/grayscale/json/train/8.png
1,custom-datasets/image_classification/multiple_classes/grayscale/json/train/9.png
0,custom-datasets/image_classification/multiple_classes/grayscale/json/train/10.png
8,custom-datasets/image_classification/multiple_classes/grayscale/json/train/11.png
8,custom-datasets/image_classification/multiple_classes/grayscale/json/train/12.png
1,custom-datasets/image_classification/multiple_classes/grayscale/json/train/13.png
6,custom-datasets/image_classification/multiple_classes/grayscale/json/train/14.png
8,custom-datasets/image_classification/multiple_classes/grayscale/json/train/15.png
7,custom-datasets/image_classification/multiple_classes/grayscale/json/train/16.png
1,custom-datasets/image_classification/multiple_classes/grayscale/json/train/17.png
6,custom-datasets/image_classification/multiple_classes/grayscale/json/train/18.png
7,custom-datasets/image_classification/multiple_classes/grayscale/json/train/19.png
4,custom-datasets/image_classification/multiple_classes/grayscale/json/train/20.png
9,custom-datasets/image_classification/multiple_classes/grayscale/json/train/21.png
1,custom-datasets/image_classification/multiple_classes/grayscale/json/train/22.png
9,custom-datasets/image_classification/multiple_classes/grayscale/json/train/23.png
8,custom-datasets/image_classification/multiple_classes/grayscale/json/train/24.png
8,custom-datasets/image_classification/multiple_classes/grayscale/json/train/25.png
3,custom-datasets/image_classification/multiple_classes/grayscale/json/train/26.png
9,custom-datasets/image_classification/multiple_classes/grayscale/json/train/27.png
7,custom-datasets/image_classification/multiple_classes/grayscale/json/train/28.png
9,custom-datasets/image_classification/multiple_classes/grayscale/json/train/29.png
8,custom-datasets/image_classification/multiple_classes/grayscale/json/train/30.png
5,custom-datasets/image_classification/multiple_classes/grayscale/json/train/31.png
6,custom-datasets/image_classification/multiple_classes/grayscale/json/train/32.png
