Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Target
LP001032,Male,No,0,Graduate,No,4950,0.0,125,360,1,Urban,Y
LP001824,Male,Yes,1,Graduate,No,2882,1843.0,123,480,1,Semiurban,Y
LP002928,Male,Yes,0,Graduate,No,3000,3416.0,56,180,1,Semiurban,Y
LP001814,Male,Yes,2,Graduate,No,9703,0.0,112,360,1,Urban,Y
LP002244,Male,Yes,0,Graduate,No,2333,2417.0,136,360,1,Urban,Y
LP001854,Male,Yes,3+,Graduate,No,5250,0.0,94,360,1,Urban,N
LP002505,Male,Yes,0,Graduate,No,4333,2451.0,110,360,1,Urban,N
LP002862,Male,Yes,2,Not Graduate,No,6125,1625.0,187,480,1,Semiurban,N
LP001630,Male,No,0,Not Graduate,No,2333,1451.0,102,480,0,Urban,N
LP001964,Male,Yes,0,Not Graduate,No,1800,2934.0,93,360,0,Urban,N
LP001098,Male,Yes,0,Graduate,No,3500,1667.0,114,360,1,Semiurban,Y
LP002149,Male,Yes,2,Graduate,No,8333,3167.0,165,360,1,Rural,Y
LP002472,Male,No,2,Graduate,No,4354,0.0,136,360,1,Rural,Y
LP001647,Male,Yes,0,Graduate,No,9328,0.0,188,180,1,Rural,Y
LP001871,Female,No,0,Graduate,No,7200,0.0,120,360,1,Rural,Y
LP001379,Male,Yes,2,Graduate,No,3800,3600.0,216,360,0,Urban,N
LP002789,Male,Yes,0,Graduate,No,3593,4266.0,132,180,0,Rural,N
LP002842,Male,Yes,1,Graduate,No,3417,1750.0,186,360,1,Urban,Y
LP001491,Male,Yes,2,Graduate,Yes,3316,3500.0,88,360,1,Urban,Y
LP002031,Male,Yes,1,Not Graduate,No,3399,1640.0,111,180,1,Urban,Y
LP001578,Male,Yes,0,Graduate,No,2439,3333.0,129,360,1,Rural,Y
LP001318,Male,Yes,2,Graduate,No,6250,5654.0,188,180,1,Semiurban,Y
LP001259,Male,Yes,1,Graduate,Yes,1000,3022.0,110,360,1,Urban,N
LP002804,Female,Yes,0,Graduate,No,4180,2306.0,182,360,1,Semiurban,Y
