,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Target
0,LP001872,Male,No,0,Graduate,Yes,5166,0.0,128,360,1,Semiurban,Y
1,LP001222,Female,No,0,Graduate,No,4166,0.0,116,360,0,Semiurban,N
2,LP001155,Female,Yes,0,Not Graduate,No,1928,1644.0,100,360,1,Semiurban,Y
3,LP001529,Male,Yes,0,Graduate,Yes,2577,3750.0,152,360,1,Rural,Y
4,LP001255,Male,No,0,Graduate,No,3750,0.0,113,480,1,Urban,N
5,LP002187,Male,No,0,Graduate,No,2500,0.0,96,480,1,Semiurban,N
6,LP002448,Male,Yes,0,Graduate,No,3948,1733.0,149,360,0,Rural,N
7,LP001761,Male,No,0,Graduate,Yes,6400,0.0,200,360,1,Rural,Y
8,LP001164,Female,No,0,Graduate,No,4230,0.0,112,360,1,Semiurban,N
9,LP002659,Male,Yes,3+,Graduate,No,3466,3428.0,150,360,1,Rural,Y
10,LP001606,Male,Yes,0,Graduate,No,3497,1964.0,116,360,1,Rural,Y
11,LP001917,Female,No,0,Graduate,No,1811,1666.0,54,360,1,Urban,Y
12,LP002205,Male,No,1,Graduate,No,3062,1987.0,111,180,0,Urban,N
13,LP002473,Male,Yes,0,Graduate,No,8334,0.0,160,360,1,Semiurban,N
14,LP002250,Male,Yes,0,Graduate,No,5488,0.0,125,360,1,Rural,Y
15,LP001778,Male,Yes,1,Graduate,No,3155,1779.0,140,360,1,Semiurban,Y
16,LP001656,Male,No,0,Graduate,No,12000,0.0,164,360,1,Semiurban,N
17,LP002606,Female,No,0,Graduate,No,3159,0.0,100,360,1,Semiurban,Y
18,LP002142,Female,Yes,0,Graduate,Yes,5500,0.0,105,360,0,Rural,N
19,LP001814,Male,Yes,2,Graduate,No,9703,0.0,112,360,1,Urban,Y
20,LP001836,Female,No,2,Graduate,No,3427,0.0,138,360,1,Urban,N
21,LP001404,Female,Yes,0,Graduate,No,3167,2283.0,154,360,1,Semiurban,Y
22,LP002840,Female,No,0,Graduate,No,2378,0.0,9,360,1,Urban,N
23,LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100,360,1,Semiurban,Y
24,LP002175,Male,Yes,0,Graduate,No,4750,2333.0,130,360,1,Urban,Y
25,LP001888,Female,No,0,Graduate,No,3237,0.0,30,360,1,Urban,Y
26,LP002051,Male,Yes,0,Graduate,No,2400,2167.0,115,360,1,Semiurban,Y
27,LP001640,Male,Yes,0,Graduate,Yes,39147,4750.0,120,360,1,Semiurban,Y
28,LP001954,Female,Yes,1,Graduate,No,4666,0.0,135,360,1,Urban,Y
29,LP001811,Male,Yes,0,Not Graduate,No,3406,4417.0,123,360,1,Semiurban,Y
30,LP002723,Male,No,2,Graduate,No,3588,0.0,110,360,0,Rural,N
31,LP001877,Male,Yes,2,Graduate,No,4708,1387.0,150,360,1,Semiurban,Y
32,LP002434,Male,Yes,2,Not Graduate,No,4652,0.0,110,360,1,Rural,Y
33,LP001910,Male,No,1,Not Graduate,Yes,4053,2426.0,158,360,0,Urban,N
34,LP002505,Male,Yes,0,Graduate,No,4333,2451.0,110,360,1,Urban,N
35,LP001343,Male,Yes,0,Graduate,No,1759,3541.0,131,360,1,Semiurban,Y
36,LP002755,Male,Yes,1,Not Graduate,No,2239,2524.0,128,360,1,Urban,Y
37,LP001904,Male,Yes,0,Graduate,No,3103,1300.0,80,360,1,Urban,Y
38,LP002467,Male,Yes,0,Graduate,No,3708,2569.0,173,360,1,Urban,N
39,LP002129,Male,Yes,0,Graduate,No,2499,2458.0,160,360,1,Semiurban,Y
40,LP002004,Male,No,0,Not Graduate,No,2927,2405.0,111,360,1,Semiurban,Y
41,LP001432,Male,Yes,2,Graduate,No,2957,0.0,81,360,1,Semiurban,Y
42,LP001379,Male,Yes,2,Graduate,No,3800,3600.0,216,360,0,Urban,N
43,LP002743,Female,No,0,Graduate,No,2138,0.0,99,360,0,Semiurban,N
44,LP001333,Male,Yes,0,Graduate,No,1977,997.0,50,360,1,Semiurban,Y
45,LP001677,Male,No,2,Graduate,No,4923,0.0,166,360,0,Semiurban,Y
46,LP001199,Male,Yes,2,Not Graduate,No,3357,2859.0,144,360,1,Urban,Y
47,LP001698,Male,No,0,Not Graduate,No,3975,2531.0,55,360,1,Rural,Y
48,LP002407,Female,Yes,0,Not Graduate,Yes,7142,0.0,138,360,1,Rural,Y
49,LP001519,Female,No,0,Graduate,No,10000,1666.0,225,360,1,Rural,N
50,LP001894,Male,Yes,0,Graduate,No,2620,2223.0,150,360,1,Semiurban,Y
51,LP002959,Female,Yes,1,Graduate,No,12000,0.0,496,360,1,Semiurban,Y
52,LP001726,Male,Yes,0,Graduate,No,3727,1775.0,131,360,1,Semiurban,Y
53,LP001963,Male,Yes,1,Graduate,No,2014,2925.0,113,360,1,Urban,N
54,LP001482,Male,Yes,0,Graduate,Yes,3459,0.0,25,120,1,Semiurban,Y
55,LP001751,Male,Yes,0,Graduate,No,3250,0.0,170,360,1,Rural,N
56,LP002689,Male,Yes,2,Not Graduate,No,2192,1742.0,45,360,1,Semiurban,Y
57,LP002798,Male,Yes,0,Graduate,No,3887,2669.0,162,360,1,Semiurban,Y
58,LP001636,Male,Yes,0,Graduate,No,4600,0.0,73,180,1,Semiurban,Y
59,LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,Y
60,LP002487,Male,Yes,0,Graduate,No,3015,2188.0,153,360,1,Rural,Y
61,LP001713,Male,Yes,1,Graduate,Yes,7787,0.0,240,360,1,Urban,Y
62,LP001841,Male,No,0,Not Graduate,Yes,2583,2167.0,104,360,1,Rural,Y
63,LP001758,Male,Yes,2,Graduate,No,6250,1695.0,210,360,1,Semiurban,Y
64,LP002804,Female,Yes,0,Graduate,No,4180,2306.0,182,360,1,Semiurban,Y
65,LP001225,Male,Yes,0,Graduate,No,5726,4595.0,258,360,1,Semiurban,N
66,LP002795,Male,Yes,3+,Graduate,Yes,10139,0.0,260,360,1,Semiurban,Y
67,LP002139,Male,Yes,0,Graduate,No,9083,0.0,228,360,1,Semiurban,Y
68,LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66,360,1,Urban,Y
69,LP001144,Male,Yes,0,Graduate,No,5821,0.0,144,360,1,Urban,Y
70,LP001073,Male,Yes,2,Not Graduate,No,4226,1040.0,110,360,1,Urban,Y
71,LP001955,Female,No,0,Graduate,No,5000,2541.0,151,480,1,Rural,N
72,LP002097,Male,No,1,Graduate,No,4384,1793.0,117,360,1,Urban,Y
73,LP001931,Female,No,0,Graduate,No,4124,0.0,115,360,1,Semiurban,Y
74,LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95,360,1,Urban,Y
75,LP001179,Male,Yes,2,Graduate,No,4616,0.0,134,360,1,Urban,N
76,LP002314,Female,No,0,Not Graduate,No,2213,0.0,66,360,1,Rural,Y
